Beginner,Who is the father of Computers?
Beginner,Which of the following device use positional notation to represent a decimal number?
Beginner,Which of the following are physical devices of a computer?
Beginner,Which of the following defines the assigned ordering among the characters used by the computer?
Beginner,Which of the following storage is a system where a robotic arm will connect or disconnect off-line mass storage media according to the computer operating system demands?
Beginner,Which of the following is known as the interval between the instant a computer makes a request for the transfer of data from a disk system to the primary storage and the instance the operation is completed?
Beginner,Which of the following devices provides the communication between a computer and the outer world?
Beginner,Which of the following are the input devices that enable direct data entry into a computer system from source documents?
Beginner,Which of the following is the device used for converting maps
Beginner,Which of the following can access the server?
Beginner,Which of the following is known as the language made up of binary-coded instructions?
Beginner,Which of the following package allows individuals to use personal computers for storing and retrieving their personal information?
Beginner,Which of the following is a technique that marked the beginning of computer communications?
Beginner,Which of the following is a type of technique in which dumb terminals are connected to a central computer system?
Beginner,Which of the following service allows a user to log in to another computer somewhere on the Internet?
Beginner,Who is the father of Computers?
Beginner,Which of the following is the correct abbreviation of COMPUTER?
Beginner,Which of the following is the correct definition of Computer?
Beginner,What is the full form of CPU?
Beginner,Which of the following language does the computer understand?
Beginner,Which of the following computer language is written in binary codes only?
Beginner,Which of the following is the brain of the computer?
Beginner,Which of the following is not a characteristic of the computer
Beginner,Which of the following is the smallest unit of data in a computer
Beginner,Which of the following unit is responsible for converting the data received from the user into a computer understandable format?
Beginner,Which of the following monitor looks like a television and are normally used with non-portable computer systems?
Beginner,Which of the following is not a type of computer code?
Beginner,Which of the following part of a processor contains the hardware necessary to perform all the operations required by a computer?
Beginner,Which of the following is designed to control the operations of a computer?
Beginner,Which of the following device use positional notation to represent a decimal number?
Beginner,Which of the following is used in EBCDIC?
Beginner,Which of the following are physical devices of a computer?
Beginner,Which of the following defines the assigned ordering among the characters used by the computer?
Beginner,Which of the following storage is a system where a robotic arm will connect or disconnect off-line mass storage media according to the computer operating system demands?
Beginner,Which of the following is known as the interval between the instant a computer makes a request for the transfer of data from a disk system to the primary storage and the instance the operation is completed?
Beginner,Which of the following devices provides the communication between a computer and the outer world?
Beginner,Which of the following are the input devices that enable direct data entry into a computer system from source documents?
Beginner,Which of the following is the device used for converting maps and drawings into digital form for storage in computers?
Beginner,Which of the following can access the server?
Beginner,Which of the following is known as the language made up of binary-coded instructions?
Beginner,Which of the following package allows individuals to use personal computers for storing and retrieving their personal information?
Beginner,Which of the following is a technique that marked the beginning of computer communications?
Beginner,Which of the following is a type of technique in which dumb terminals are connected to a central computer system?
Beginner,Which of the following service allows a user to log in to another computer somewhere on the Internet?
Beginner,Which of the following is a type of technique in which dumb terminals are connected to a central computer system?
